Current Attendence Sheet Data of GEO22513  |  All Type


-,2019-08-02-08:00:00-Lect-1H-ng,2019-08-05-10:00:00-Lect-2H-ng,2019-08-09-08:00:00-Lect-1H-ng,2019-08-16-08:00:00-Lect-1H-ng,2019-08-19-09:00:00-Lect-1H-ng,2019-12-09-09:00:00-Lect-1H-ng,2019-12-13-09:00:00-Lect-1H-ng,2019-12-16-12:00:00-Lect-2H-ng,2019-12-20-09:00:00-Lect-1H-ng,2019-12-23-09:00:00-Lect-2H-ng,2019-12-27-09:00:00-Lect-1H-ng,2019-12-30-12:00:00-Lect-2H-ng,2020-01-06-09:00:00-Lect-2H-ng,2020-01-13-09:00:00-Lect-2H-ng,2020-01-17-09:00:00-Lect-1H-ng,2020-01-20-09:00:00-Lect-2H-ng,2020-01-24-09:00:00-Lect-1H-ng,2020-01-27-09:00:00-Lect-2H-ng,2020-02-03-12:00:00-Lect-2H-ng,2020-02-07-09:00:00-Lect-1H-ng,2020-02-10-09:00:00-Lect-1H-ng,2020-02-14-09:00:00-Lect-1H-ng,2020-02-17-09:00:00-Lect-2H-ng,2020-02-18-13:00:00-Lect-1H-ng,%
HS/2017/16483,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,82 %,
HS/2017/16484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16499,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,88 %,
HS/2017/16501,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16506,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,59 %,
HS/2017/16508,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,82 %,
HS/2017/16510,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16512,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16517,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16525,1,1,0,0,1,0,M,1,1,1,M,1,1,1,1,1,0,1,M,M,M,1,1,0,85 %,
HS/2017/16527,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16529,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16530,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16543,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16545,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,88 %,
HS/2017/16547,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16552,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16555,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2017/16557,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,24 %,
HS/2017/16558,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,85 %,
HS/2017/16559,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,79 %,
HS/2017/16562,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,88 %,
HS/2017/16570,1,M,M,M,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,91 %,
HS/2017/16579,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16582,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,59 %,
HS/2017/16584,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16586,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,88 %,
HS/2017/16594,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16595,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,56 %,
HS/2017/16596,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,65 %,
HS/2017/16603,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,94 %,
Total,66,87,82,66,94,81,86,89,92,99,21,92,99,98,95,97,94,97,91,79,85,97,91,65,
