Current Attendence Sheet Data of POS11513  |  All Type


-,2019-02-26-14:00:00-Lect-2H-ng,2019-03-05-14:00:00-Lect-2H-ng,2019-03-13-13:00:00-Lect-1H-ng,2019-03-18-09:00:00-Lect-2H-ng,2019-03-19-14:00:00-Lect-2H-ng,2019-03-25-15:00:00-Lect-1H-ng,2019-04-01-09:00:00-Lect-1H-ng,2019-04-08-14:00:00-Lect-1H-ng,2019-04-09-14:00:00-Lect-2H-ng,2019-05-21-14:00:00-Lect-2H-ng,2019-05-27-14:00:00-Lect-1H-ng,2019-05-28-14:00:00-Lect-1H-ng,2019-06-04-14:00:00-Lect-2H-ng,2019-06-10-15:00:00-Lect-1H-ng,2019-06-11-14:00:00-Lect-2H-ng,2019-06-17-14:00:00-Lect-2H-ng,2019-06-18-14:00:00-Lect-2H-ng,2019-06-24-09:00:00-Lect-1H-ng,2019-06-25-14:00:00-Lect-2H-ng,2019-07-01-15:00:00-Lect-1H-ng,2019-07-02-14:00:00-Lect-2H-ng,%
HS/2018/16890,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,48 %,
HS/2018/16900,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,55 %,
HS/2018/16907,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,52 %,
HS/2018/16908,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,42 %,
HS/2018/16913,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,42 %,
HS/2018/16919,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,58 %,
HS/2018/16923,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,52 %,
HS/2018/16924,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,70 %,
HS/2018/16926,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,39 %,
HS/2018/16929,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6 %,
HS/2018/16939,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,42 %,
HS/2018/16940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12 %,
HS/2018/16947,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,58 %,
HS/2018/16957,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,18 %,
HS/2018/16959,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,45 %,
HS/2018/16961,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,52 %,
HS/2018/16964,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,48 %,
HS/2018/16966,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,36 %,
HS/2018/16967,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,45 %,
HS/2018/16970,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,39 %,
HS/2018/16971,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,45 %,
HS/2018/16975,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,30 %,
HS/2018/16977,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,64 %,
HS/2018/16978,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,21 %,
HS/2018/16981,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18 %,
HS/2018/16990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,24 %,
