Current Attendence Sheet Data of GEO22633  |  All Type


-,2019-08-01-08:00:00-Lect-1H-ng,2019-08-05-08:00:00-Lect-2H-ng,2019-08-06-08:00:00-Lect-1H-ng,2019-08-13-08:00:00-Lect-1H-ng,2019-08-19-08:00:00-Lect-2H-ng,2019-08-20-08:00:00-Lect-1H-ng,2019-12-10-09:00:00-Lect-1H-ng,2019-12-12-09:00:00-Lect-1H-ng,2019-12-17-09:00:00-Lect-1H-ng,2019-12-23-08:00:00-Lect-1H-ng,2019-12-23-08:00:00-Lect-1H-ng,2019-12-24-09:00:00-Lect-1H-ng,2019-12-30-09:00:00-Lect-2H-ng,2019-12-31-09:00:00-Lect-1H-ng,2020-01-02-09:00:00-Lect-1H-ng,2020-01-02-09:00:00-Lect-1H-ng,2020-01-02-10:00:00-Lect-2H-ng,2020-01-09-09:00:00-Lect-1H-ng,2020-01-13-08:00:00-Lect-1H-ng,2020-01-16-09:00:00-Lect-1H-ng,2020-01-16-09:00:00-Lect-1H-ng,2020-01-20-09:00:00-Lect-1H-ng,2020-01-23-09:00:00-Lect-1H-ng,2020-01-27-09:00:00-Lect-2H-ng,2020-01-28-09:00:00-Lect-1H-ng,2020-01-30-09:00:00-Lect-2H-ng,2020-02-03-09:00:00-Lect-1H-ng,2020-02-10-08:00:00-Lect-1H-ng,2020-02-11-09:00:00-Lect-1H-ng,2020-02-13-09:00:00-Lect-1H-ng,2020-02-17-10:00:00-Lect-2H-ng,%
HS/2017/16392,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16396,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16401,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16405,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,87 %,
HS/2017/16407,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16419,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16437,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,79 %,
HS/2017/16441,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,55 %,
HS/2017/16449,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16458,0,0,M,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,82 %,
HS/2017/16469,0,1,1,1,1,1,1,1,1,1,1,1,M,M,M,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,84 %,
HS/2017/16474,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,89 %,
HS/2017/16475,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16478,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,87 %,
HS/2017/16487,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M,1,1,0,0,79 %,
HS/2017/16489,M,1,1,M,1,1,1,1,1,1,1,M,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16494,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2017/16505,0,1,1,1,1,M,1,1,1,1,1,1,M,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16507,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16511,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16514,0,0,1,M,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,84 %,
HS/2017/16521,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16523,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16528,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26 %,
