Current Attendence Sheet Data of GEO11513  |  All Type


-,2019-02-26-08:00:00-Lect-2H-ng,2019-02-28-13:00:00-Lect-1H-ng,2019-03-05-08:00:00-Lect-2H-ng,2019-03-07-13:00:00-Lect-1H-ng,2019-03-12-08:00:00-Lect-2H-ng,2019-03-14-13:00:00-Lect-1H-ng,2019-03-19-08:00:00-Lect-2H-ng,2019-03-21-13:00:00-Lect-1H-ng,2019-03-26-08:00:00-Lect-2H-ng,2019-03-28-13:00:00-Lect-1H-ng,2019-04-02-08:00:00-Lect-2H-ng,2019-04-04-13:00:00-Lect-1H-ng,2019-04-09-08:00:00-Lect-2H-ng,2019-04-11-13:00:00-Lect-1H-ng,2019-05-16-13:00:00-Lect-1H-ng,2019-05-21-08:00:00-Lect-2H-ng,2019-05-23-13:00:00-Lect-1H-ng,2019-05-28-08:00:00-Lect-2H-ng,2019-05-30-13:00:00-Assi-1H-ng,2019-06-04-08:00:00-Lect-2H-ng,2019-06-06-13:00:00-Lect-1H-ng,2019-06-11-08:00:00-Lect-2H-ng,2019-06-13-13:00:00-Lect-1H-ng,2019-06-18-08:00:00-Lect-2H-ng,2019-06-20-13:00:00-Lect-1H-ng,2019-06-25-08:00:00-Lect-2H-ng,2019-06-27-13:00:00-Lect-1H-ng,%
HS/2018/16747,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,45 %,
HS/2018/16748,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,53 %,
HS/2018/16749,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,63 %,
HS/2018/16752,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,63 %,
HS/2018/16753,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,63 %,
HS/2018/16755,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,63 %,
HS/2018/16756,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,60 %,
HS/2018/16757,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,60 %,
HS/2018/16758,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,73 %,
HS/2018/16760,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,65 %,
HS/2018/16762,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,70 %,
HS/2018/16765,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,45 %,
HS/2018/16768,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,60 %,
HS/2018/16774,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,55 %,
HS/2018/16775,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,60 %,
HS/2018/16776,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,60 %,
HS/2018/16777,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,65 %,
HS/2018/16778,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,45 %,
HS/2018/16780,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,48 %,
HS/2018/16781,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,65 %,
HS/2018/16783,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,60 %,
HS/2018/16786,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,65 %,
HS/2018/16788,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,53 %,
HS/2018/16791,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,55 %,
HS/2018/16792,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,63 %,
HS/2018/16796,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,60 %,
HS/2018/16799,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,25 %,
HS/2018/16800,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,43 %,
HS/2018/16803,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,63 %,
HS/2018/16805,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,43 %,
