Current Attendence Sheet Data of GEO22623  |  All Type


-,2019-07-31-08:00:00-Lect-1H-ng,2019-07-31-15:00:00-Lect-1H-ng,2019-08-06-10:00:00-Lect-2H-ng,2019-08-07-08:00:00-Lect-1H-ng,2019-08-13-10:00:00-Lect-2H-ng,2019-08-15-11:00:00-Lect-1H-ng,2019-08-21-09:00:00-Lect-2H-ng,2019-12-17-10:00:00-Lect-1H-ng,2019-12-17-10:00:00-Lect-1H-ng,2019-12-18-08:00:00-Lect-1H-ng,2019-12-18-10:00:00-Lect-1H-ng,2019-12-24-09:00:00-Lect-2H-ng,2019-12-31-09:00:00-Lect-2H-ng,2020-01-01-09:00:00-Lect-1H-ng,2020-01-07-09:00:00-Lect-2H-ng,2020-01-08-09:00:00-Lect-1H-ng,2020-01-14-09:00:00-Lect-1H-ng,2020-01-17-09:00:00-Lect-1H-ng,2020-01-22-09:00:00-Lect-2H-ng,2020-01-22-09:00:00-Lect-1H-ng,2020-01-24-09:00:00-Lect-2H-ng,2020-01-28-09:00:00-Lect-3H-ng,2020-02-05-14:00:00-Lect-1H-ng,2020-02-07-10:00:00-Lect-1H-ng,2020-02-12-09:00:00-Lect-1H-ng,2020-02-12-09:00:00-Lect-1H-ng,2020-02-12-09:00:00-Lect-1H-ng,2020-02-18-09:00:00-Lect-2H-ng,%
HS/2017/16419,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16437,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,64 %,
HS/2017/16449,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,87 %,
HS/2017/16458,0,0,M,1,M,M,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16469,M,1,1,1,1,M,1,1,1,1,1,1,M,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,90 %,
HS/2017/16474,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,87 %,
HS/2017/16475,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,90 %,
HS/2017/16478,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,82 %,
HS/2017/16487,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,92 %,
HS/2017/16489,1,1,0,1,M,M,1,1,1,M,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,79 %,
HS/2017/16494,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16505,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,M,1,1,0,1,1,1,1,95 %,
HS/2017/16507,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16511,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,92 %,
HS/2017/16514,0,0,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,87 %,
HS/2017/16521,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2017/16523,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16528,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,59 %,
HS/2017/16533,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,85 %,
HS/2017/16534,M,M,1,1,1,1,M,1,1,1,1,M,1,1,1,1,1,1,1,1,1,1,1,M,1,1,1,1,100 %,
HS/2017/16535,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,92 %,
HS/2017/16536,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16540,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2017/16541,0,0,1,1,M,M,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,77 %,
HS/2017/16544,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,82 %,
HS/2017/16546,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,69 %,
HS/2017/16549,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,90 %,
HS/2017/16553,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,90 %,
HS/2017/16581,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,67 %,
HS/2017/16588,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2017/16591,0,0,1,1,M,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,M,1,1,1,1,1,1,1,87 %,
Total,34,47,72,68,59,59,73,73,70,72,73,62,77,74,76,72,63,73,75,69,63,74,62,62,70,66,71,71,
